2Time,249976
a,b,valid,Percentage_of_results
28,31,False,0.9
23,28,False,4.4
30,31,False,2.1
31,28,False,3.4
30,22,False,1.4
22,28,False,1.7
29,28,False,1.0
31,24,False,0.3
30,30,False,2.7
26,31,False,0.4
20,29,False,1.4
27,28,False,0.2
30,14,False,1.6
31,22,False,4.9
22,30,False,3.1
31,20,False,4.0
22,31,False,1.6
20,31,False,0.7
28,29,False,1.0
28,28,False,0.5
20,22,False,0.2
30,23,False,0.9
31,30,False,3.6
29,30,False,0.6
23,20,False,2.0
23,24,False,0.7
28,21,False,0.5
30,28,False,0.5
29,12,False,0.4
22,22,False,0.6
28,20,False,0.5
20,21,False,0.2
12,29,False,0.3
23,30,False,1.6
15,31,False,0.1
22,29,False,1.0
25,27,False,0.1
27,30,False,0.3
31,18,False,2.4
29,22,False,1.3
29,20,False,2.3
31,12,False,1.6
29,26,False,0.2
20,23,False,0.2
14,30,False,0.7
30,29,False,0.3
28,30,False,0.6
20,30,False,0.2
24,31,False,0.1
24,15,False,0.1
22,20,False,0.1
28,14,False,0.1
27,22,False,0.2
23,22,False,1.0
21,22,False,0.4
18,30,False,0.5
31,31,False,0.1
30,20,False,0.2
20,28,False,0.2
21,21,False,0.2
22,27,False,0.1
29,16,False,0.1
6,30,False,0.4
14,29,False,0.3
22,23,False,0.2
28,23,False,0.3
30,12,False,0.3
21,28,False,1.8
21,29,False,0.3
16,31,False,0.1
30,18,False,0.5
30,10,False,0.2
21,20,False,0.3
20,20,False,0.5
15,30,False,0.5
23,26,False,0.5
31,14,False,1.7
30,19,False,0.2
30,15,False,0.9
23,12,False,0.9
30,13,False,0.3
14,15,False,0.5
26,15,False,0.2
27,31,False,0.1
30,26,False,0.7
22,26,False,0.6
18,31,False,0.1
14,31,False,0.4
14,20,False,0.1
29,23,False,0.4
28,15,False,0.1
28,12,False,0.2
30,17,False,0.1
28,25,False,0.1
28,22,False,0.4
16,28,False,0.1
29,18,False,0.4
31,10,False,0.4
23,18,False,0.3
31,26,False,0.9
30,27,False,0.4
29,24,False,0.3
30,24,False,0.1
14,14,False,0.4
15,20,False,0.5
13,20,False,0.1
14,22,False,0.1
28,27,False,0.1
30,6,False,1.0
22,13,False,0.1
29,29,False,0.2
30,25,False,0.2
20,13,False,0.1
22,15,False,0.1
29,21,False,0.2
23,6,False,0.3
23,31,False,0.1
15,22,False,0.6
6,31,False,0.2
27,14,False,0.2
25,29,False,0.1
15,28,False,0.8
31,6,False,0.4
23,14,False,0.1
31,16,False,1.1
19,24,False,0.1
7,20,False,0.3
31,4,False,0.5
22,18,False,0.2
21,24,False,0.1
7,22,False,0.1
19,12,False,0.1
21,12,False,0.1
14,23,False,0.2
11,30,False,0.2
15,10,False,0.1
13,30,False,0.3
22,21,False,0.1
21,30,False,0.1
21,25,False,0.1
15,12,False,0.2
15,26,False,0.2
19,28,False,0.2
16,29,False,0.2
6,29,False,0.2
8,29,False,0.1
21,16,False,0.1
29,14,False,0.1
29,31,False,0.1
18,27,False,0.1
21,26,False,0.1
27,13,False,0.1
7,28,False,0.3
22,12,False,0.2
27,18,False,0.1
18,29,False,0.2
30,21,False,0.1
27,24,False,0.1
30,7,False,0.3
6,13,False,0.1
28,13,False,0.2
12,21,False,0.1
23,4,False,0.2
31,21,False,0.1
23,21,False,0.3
31,2,False,0.5
24,24,False,0.1
5,28,False,0.1
4,31,False,0.1
12,23,False,0.1
15,18,False,0.2
30,3,False,0.2
31,23,False,0.1
31,3,False,0.1
5,29,False,0.2
15,24,False,0.1
27,6,False,0.1
20,17,False,0.1
12,31,False,0.1
30,4,False,0.2
12,15,False,0.2
26,27,False,0.1
22,6,False,0.1
31,8,False,0.1
7,4,False,0.1
18,19,False,0.1
28,4,False,0.1
12,30,False,0.1
21,31,False,0.1
2,30,False,0.1
31,29,False,0.1
4,15,False,0.1
4,28,False,0.1
12,4,False,0.1
10,27,False,0.1
30,2,False,0.1
14,28,False,0.1
31,19,False,0.1
17,29,False,0.1
26,25,False,0.1
31,0,False,0.1
14,27,False,0.1
10,19,False,0.1
